iter	Passed	Remaining
419	2388	31735
420	2393	31720
421	2399	31710
422	2404	31702
423	2410	31704
424	2415	31685
425	2420	31673
426	2425	31658
427	2431	31659
428	2437	31652
429	2443	31651
430	2448	31642
431	2454	31634
432	2459	31626
433	2464	31611
434	2469	31596
435	2475	31586
436	2480	31571
437	2484	31552
438	2490	31542
439	2494	31519
440	2500	31515
441	2506	31512
442	2510	31491
443	2515	31474
444	2520	31462
445	2526	31456
446	2532	31464
447	2537	31446
448	2542	31430
449	2548	31429
450	2555	31439
451	2561	31435
452	2566	31429
453	2572	31420
454	2577	31411
455	2583	31409
456	2588	31394
457	2594	31391
458	2599	31381
459	2604	31370
460	2610	31369
461	2616	31360
462	2622	31363
463	2628	31359
464	2634	31356
465	2640	31351
466	2645	31339
467	2650	31328
468	2655	31322
469	2661	31311
470	2666	31306
471	2671	31290
472	2677	31284
473	2681	31265
474	2687	31257
475	2692	31248
476	2697	31239
477	2703	31227
478	2707	31210
479	2713	31205
480	2718	31196
481	2724	31187
482	2728	31167
483	2733	31154
484	2738	31142
485	2744	31136
486	2749	31127
487	2755	31125
488	2761	31122
489	2766	31105
490	2772	31104
491	2777	31094
492	2781	31075
493	2787	31069
494	2794	31073
495	2799	31067
496	2804	31057
497	2810	31050
498	2816	31044
499	2821	31036
500	2826	31024
501	2832	31016
502	2837	31006
503	2842	30995
504	2847	30986
505	2853	30978
506	2858	30969
507	2865	30982
508	2872	30989
509	2877	30976
510	2883	30970
511	2888	30958
512	2893	30947
513	2899	30945
514	2904	30938
515	2910	30927
516	2915	30923
517	2921	30914
518	2927	30920
519	2932	30908
520	2938	30902
521	2943	30889
522	2948	30879
523	2953	30866
524	2959	30859
525	2964	30853
526	2970	30849
527	2975	30840
528	2981	30831
529	2987	30831
530	2992	30820
531	2997	30811
532	3002	30800
533	3009	30800
534	3015	30799
535	3021	30796
536	3026	30790
537	3031	30779
538	3037	30770
539	3041	30754
540	3046	30744
541	3051	30729
542	3056	30721
543	3062	30717
544	3068	30709
545	3072	30695
546	3078	30685
547	3082	30672
548	3088	30661
549	3093	30655
550	3099	30653
551	3104	30642
552	3110	30634
553	3116	30635
554	3121	30621
555	3126	30614
556	3131	30600
557	3137	30595
558	3141	30581
559	3147	30576
560	3152	30567
561	3158	30561
562	3164	30558
563	3169	30548
564	3174	30538
565	3179	30526
566	3185	30520
567	3190	30512
568	3196	30507
569	3200	30492
570	3205	30475
571	3211	30470
572	3215	30458
573	3221	30456
574	3228	30457
575	3234	30457
576	3240	30456
577	3245	30448
578	3251	30438
579	3256	30435
