iter	MultiClass
0	1.009763447
1	0.9313116257
2	0.8686629333
3	0.8119364736
4	0.7646391904
5	0.7187113956
6	0.6782428154
7	0.640689634
8	0.6073406517
9	0.5786100002
10	0.5505628251
11	0.524653712
12	0.5018439151
13	0.4810600219
14	0.4623954517
15	0.4389120989
16	0.4186275442
17	0.3994618166
18	0.3829450085
19	0.3652639864
20	0.3496279928
21	0.3347671038
22	0.3215147628
23	0.3107352226
24	0.2991395173
25	0.2895871319
26	0.2812834511
27	0.2722411792
28	0.263728366
29	0.2553929392
30	0.2480520835
31	0.2413375506
32	0.2331982768
33	0.2272846558
34	0.2203144736
35	0.2143787793
36	0.2081093934
37	0.203873641
38	0.199334703
39	0.1950893469
40	0.1906750644
41	0.1869315408
42	0.1824146073
43	0.1784523888
44	0.1748580743
45	0.1724963848
46	0.1705204287
47	0.1681918906
48	0.1649898407
49	0.1631220747
50	0.1612091836
51	0.1578897395
52	0.156369306
53	0.1546737318
54	0.1518693065
55	0.1502702518
56	0.1477412343
57	0.1464090034
58	0.1453184639
59	0.1439768773
60	0.1420304903
61	0.1410712063
62	0.139199293
63	0.138288193
64	0.1373307416
65	0.1363171422
66	0.1344765752
67	0.133236744
68	0.1322838671
69	0.1313276145
70	0.1301276449
71	0.1294534276
72	0.1287160076
73	0.1274891973
74	0.1267106755
75	0.126162781
76	0.1253618138
77	0.1241801836
78	0.1233364337
79	0.1229954395
80	0.1221337635
81	0.1216789163
82	0.1210440233
83	0.1202570965
84	0.1193852657
85	0.1189340698
86	0.1186842076
87	0.1184125614
88	0.1180659592
89	0.1176483143
90	0.1172094089
91	0.1169348416
92	0.1165105554
93	0.1159557439
94	0.1154098886
95	0.1151709598
96	0.115036797
97	0.1146765402
98	0.1144232678
99	0.1141541293
100	0.1139995327
101	0.1135326498
102	0.1132512896
103	0.1127959601
104	0.1122663567
105	0.1119987751
106	0.1116575604
107	0.1114435848
108	0.111187033
109	0.1110368181
110	0.1108792867
111	0.1106611499
112	0.1102099333
113	0.110130706
114	0.1100045348
115	0.1099564129
116	0.1099150493
117	0.1097724471
118	0.1093169385
119	0.1091880667
120	0.109051403
121	0.1085042594
122	0.1083055918
123	0.1079803673
124	0.1078567038
125	0.1077722958
126	0.1076727105
127	0.1075846856
128	0.1075166948
129	0.1074365443
130	0.1072223137
131	0.1071255531
132	0.1069401819
133	0.106580497
134	0.1060732219
135	0.1059201272
136	0.1058554364
137	0.105718077
138	0.1053256057
139	0.1052914553
140	0.1050278351
141	0.1049896751
142	0.1047732468
143	0.1046037073
144	0.1044851006
145	0.1044365171
146	0.1043687399
147	0.1042797229
148	0.1039246331
149	0.1037861989
150	0.1037265097
151	0.1036605995
152	0.1035260027
153	0.1034377711
154	0.1034006789
155	0.1033676997
156	0.103337056
157	0.1031725319
158	0.1030776865
159	0.1029977221
160	0.1028893185
161	0.1028628979
162	0.1026959901
163	0.1025961706
164	0.1025596778
165	0.1023173526
166	0.1022874185
167	0.1021874405
168	0.1021375411
169	0.1020943519
170	0.1020438187
171	0.1020054589
172	0.1018516271
173	0.101766785
174	0.1017143158
175	0.1016085784
176	0.1015647623
177	0.1014090083
178	0.1013741277
179	0.101353625
180	0.1013002327
181	0.1012056973
182	0.1011774442
183	0.1011463458
184	0.1010574252
185	0.1010416624
186	0.1009239651
187	0.1008053584
188	0.100769279
189	0.1006872478
190	0.1006417644
191	0.1005511077
192	0.100393287
193	0.1001687086
194	0.09999141176
195	0.09987731758
196	0.09985443123
197	0.09979372935
198	0.09971291064
199	0.09964663529
200	0.09933859961
201	0.09930657801
202	0.09928406368
203	0.09908663618
204	0.09897184618
205	0.09890244308
206	0.09884522031
207	0.09880594425
208	0.09873288291
209	0.09864280493
210	0.09857508972
211	0.0985069887
212	0.09846987589
213	0.09832345009
214	0.0982619146
215	0.09815532979
216	0.09810416274
217	0.09802212461
218	0.09793194329
219	0.09789323215
220	0.09785132437
221	0.09781817291
222	0.09774494624
223	0.09758080797
224	0.0974723906
225	0.09741609789
226	0.09734444198
227	0.09725193896
228	0.0972355148
229	0.0971666904
230	0.09712923312
231	0.09686502735
232	0.09684876165
233	0.09675999264
234	0.09669090645
235	0.0965872496
236	0.09653498027
237	0.0964939612
238	0.0964549676
239	0.09641735186
240	0.09632318851
241	0.09624252825
242	0.09620200521
243	0.09618199171
244	0.09615464108
245	0.09609814858
246	0.09606242741
247	0.09598500513
248	0.09594827811
249	0.09592514375
250	0.09589220587
251	0.09581447357
252	0.09580044
253	0.09576871464
254	0.09572488473
255	0.09568241891
256	0.0955902259
257	0.09557637146
258	0.09550590052
259	0.09536539954
260	0.09532044667
261	0.09528983738
262	0.09525565253
263	0.09523111963
264	0.09520458193
265	0.09515724535
266	0.09506998511
267	0.09504133928
268	0.09497664848
269	0.09486937474
270	0.09483733247
271	0.0948159411
272	0.09478646855
273	0.09469112713
274	0.0945906876
275	0.09449766788
276	0.09447740636
277	0.09444058979
278	0.09438473111
279	0.0943685343
280	0.09435242016
281	0.09432705365
282	0.09423051348
283	0.09421331771
284	0.09420274259
285	0.09417469613
286	0.09416088303
287	0.09412887521
288	0.09409430455
289	0.09393237776
290	0.09389359084
291	0.09369932554
292	0.09367723146
293	0.09357665415
294	0.09355380224
295	0.09351910069
296	0.09346807832
297	0.09344642516
298	0.09340302928
299	0.09336089414
300	0.09333550696
301	0.09325616256
302	0.09321387586
303	0.09316765535
304	0.09313829303
305	0.09308154563
306	0.09305183195
307	0.093038694
308	0.09301980346
309	0.09299421649
310	0.0929679337
311	0.09289806213
312	0.09283145609
313	0.09273690005
314	0.09271050014
315	0.09269227787
316	0.09261183117
317	0.09254876625
318	0.09249624201
319	0.09247006256
320	0.09244335952
321	0.09235996419
322	0.09229838048
323	0.0922778365
324	0.09225829147
325	0.09224020009
326	0.09217709384
327	0.09211738403
328	0.09209139059
329	0.09204094003
330	0.0918991852
331	0.09187790406
332	0.09185409454
333	0.09180456715
334	0.09178675824
335	0.09174213605
336	0.09171295974
337	0.09168848196
338	0.0916325406
339	0.09159748081
340	0.09153843237
341	0.09150281454
342	0.09147460274
343	0.09144699031
344	0.09138987088
345	0.09136910644
346	0.09132679907
347	0.091264802
348	0.09123864322
349	0.09120091036
350	0.09114354292
351	0.09102787797
352	0.09099676576
353	0.09095524378
354	0.09093616034
355	0.09092395933
356	0.09087929581
357	0.09085570675
358	0.09083134608
359	0.09081791189
360	0.09078790886
361	0.09075667954
362	0.09072212955
363	0.09067410404
364	0.09065440056
365	0.09063608183
366	0.09062084952
367	0.09060535542
368	0.09056570733
369	0.09054282098
370	0.09049385852
371	0.09045104134
372	0.09041863394
373	0.09039505865
374	0.09036808004
375	0.09036009531
376	0.09033627201
377	0.09032650294
378	0.09030509779
379	0.09027903546
380	0.09021190584
381	0.09018418318
382	0.09015779016
383	0.09011202435
384	0.09009243799
385	0.09007876267
386	0.09003575948
387	0.08997926698
388	0.08996690063
389	0.08991969495
390	0.08988117671
391	0.0898653657
392	0.08984645449
393	0.08982319612
394	0.08980462938
395	0.08975335899
396	0.08960544509
397	0.08957151515
398	0.08952899421
399	0.08950101664
400	0.08945632557
401	0.08944030099
402	0.08943716634
403	0.08942107287
404	0.08925293191
405	0.08923338688
406	0.08921170616
407	0.08913559974
408	0.08910071907
409	0.08908638927
410	0.08903857043
411	0.08898976643
412	0.08897972178
413	0.08896399345
414	0.08890687402
415	0.08887293029
416	0.08884241057
417	0.08882758473
418	0.08880097125
419	0.0887794421
420	0.08868162741
421	0.08866901304
422	0.08865014317
423	0.08863019167
424	0.08861750842
425	0.08859813563
426	0.08856202865
427	0.08853621434
